Timestamp,RollNo,Topic,YourAnalysis
08-01-25 12:27,88,Level of measurement ,"Learned about nominal, ordinal, interval and ratio variables/units, which all differ in what operations can be performed on them and whether they are discrete or continuous."
08-01-25 12:54,159,Levels of measurements,"Levels of Measurement:
1). Nominal : where there are discrete 'classes' of objects which are qualitative and cannot be said to be greater than or less than one other.
example- colours, gender

2). Ordinal : where there are discrete data but the objects can be said to be more or less than each other. They have inherent characteristic to be related to each other
example- grades (of course AA is better than BB ;) )

continuity starts...
3). Interval : where the data is not discrete and can fall in a range. A simple question to ask is that 'does 1.1 of that unit exists'. Like 1.1 apples does not make sense so apples are discrete. 
example- temperature (we can have 2, 3, 5 degree celsius but we also have 2.3)

4). Ratio : where data is continuous and can be related to each other products and quotients. Like 2 kg is twice of 1 kg.
example- height, weight

Interestingly if we understand this then we will be able to figure out which class of ML algorithm would be better for a task. 
As a rule of thumb
Discrete data : Classification Algorithms
Continuous data : Regression Algorithms"
08-01-25 14:48,98,Levels of Measurement,"Levels of Measurement ( also called scales of measurement ) are primarily used to classify data. They define the nature of the information present inside the values of the variables and are used to determine which type of statistical analysis is appropriate. The different types of levels are:-

Nominal - Here data is just labels and it represents categories without any inherent order. 
Example - Blood Type ( A , B , AB , O ) ; Fruits (Apple , Banana , Orange , etc) so it is essentially categorical data without any order . Operations allowed are Counting and Mode 

Ordinal - Here data is categories with meaningful order but differences between different categories isnt measurable
Example - Education Level (High School < Bachelors Degree < Masters Degree < PhD ) ; Amount of Fuel in Fuel Tank ( Low < Medium < High ) . Operations allowed are Median , Mode and Counting . Median is available as we can sort the data in a meaningful order

Interval - Numeric Data with equal intervals but no actual zero . Here there is a meaningful order to arrange the data , the differences between data makes sense but the value 0 doesnt mean anything
Example - Calendar Dates (2005 and 2025 are 20 years apart but year 0 doesnt mean start of time) ; pH Scale (measures acidity based on pH value from 0 to 14 but pH 0 doesnt mean no acidity , and pH 2 is not twice as acidic as pH 1). Operations allowed are Addition , Subtraction , Mean , Median, Mode

Ratio - Like Interval but a true zero exists that allows for meaningful ratios
Example - Height (150 cm is twice as long as 75 cm while 0 cm is no length) ; Weight (100kg is twice as heavy as 50 kg while 0kg is no weight) . Operations allowed are Mean , Median , Mode , Addition , Subtraction , Multiplication / Division"
08-01-25 15:28,109,types of arithmetic and statistical operation which can be performed on the basis of data type and a intro to linear regression,"there are various levels of data beginning with the nominal data which can be categorised without any meaningful order for this, only counting and mode that is the most frequent category can be calculated. ordinal data represent the categories which can be ranked but any difference or addition for that matter is not meaningful like ranks in an exam. here in addition to counting and mode , we can sort as well as take out the median. now moving on to interval data where both the order and the exact difference between the values are meaningful but there is not true refence zero point. temperature measured in celsius or fahrenheit . here we can add or subtract too, for this we also have variance , skewness as well as kurtosis. thus for this we can calculate all the moments of a probability distribution. the next is the ratio data where we also get a true zero point it allows for all arithmentic operations as well as all the measures of central tendency and the moments.                                  Now, moving on to the linear regression  lets say we need to predict height of a random guy then we have the mean as our best bet but linear regression, takes us a step further  lets say we have a plot between the height of random man and his parents height then this additional info helps us better our prediction odds and is the main idea behind regression. the measure for the strength of correlation the correlation coefficient given by1/n* summation of (x-mean x/standard deviation of x)*y-mean y/standard deviation of y the variable on the x axis is the exploratory variable and the one on vertical axis is response variable. the magnitude of r gives the strength while sign gives the direction of correlation. then we just fit a line through scatter plot and thats linear regression in simple terms. the fitting of line is done via the method of least squares where we try to minimise the y actual- y predicted square the slope is given by correlation coefficient *standard deviationy/standard deviation x . Another important concept for us is the residual which is the differnce between predicted and observed y . Residuals can be used as a measure of regression robustness. the residual plot of a good regression must be an unstructured horizontal band. a curved pattern in residual plots however is an indication of departure from linear assumption certain techniques like taking roots or log may be tried though. another topic is influential points,  influential points are data points that have a disproportionate impact on the model's results, like the x values far from mean value of x has the potential to be an influential point due to high leverage. one of the final things to see is that the scatter plot  is homoscedatic or that the variance of residuals is constant. now coming to the final topic which are some precautions for linear regression : that is for x values beyond the range of x values the y values' prediction should be avoided."
08-01-25 16:00,115,Statistical Measurement Levels and Classes of Machine Learning Problems,"Every problem in machine learning can be categorized into some primary types. To do that, understanding levels of measurement, or classifying how you view certain data types is quintessential.

There are 4 main levels of classification of data: namely nominal, ordinal, interval and ratio.

Nominal data types look like data that can be counted figuratively and can be distinguished from each other. However, they cannot be ordered and neither can they have any �quantitative value�. Few examples look like gender, or colors of an object, wherein you can clearly distinguish and categorize objects, but cannot assign any quantitative value to them

Secondly, you have ordinal data types, which are a step up from nominal data as they introduce a meaningful order among categories. Unlike nominal data, ordinal data allows for ranking or comparison - you can say that one category is ""greater than"" or ""less than"" another. For instance, education degrees such as a high school diploma, a bachelor's or masters degree have a clear order of progression. Additionally, ordinal values are discrete; you can�t have something like a ""half bachelor�s degree"". Hence, mathematical operations like addition or averaging aren't supported.

Thirdly, you have the interval data types, which further adds onto ordinal data. Here, data is continuous and can have non-discrete values. This looks like temperature (in Celsius) for instance, wherein you can have any denomination of its value unlike grades, which are discretized. However, you don�t have any tangible representation of �0�, which makes arithmetic operations like multiplication or division (which gives you ratios) unmeaningful.

Finally, you have the ultimate data type � the ratio data types. It�s basically interval data types but can have the absolute zero value represented in it, thereby allowing ratios (hence the name!). This looks like height or weight, where the number 0 has a tangible representation in real life. It also looks like income, where you can meaningfully compute ratios (like A has twice the income as B).

Moving on to machine learning then, we have two main class of problems in predicting outputs: classification and regression. The classification problems, as the name suggests, involves classifying data into some certain sub-groups, and is used in predicting categorical outputs. This means your output is going to have to be discrete and thus leads to you to nominal and ordinal data types. The conclusion then, is if you have nominal data types or ordinal data types as your output, you are going to employ classification techniques.

Similarly, regression refers to plotting a best-fit line in your scatterplot of data (basically plotting every point in space gives you a sort of scatterplot), and its usually used for continuous sets of data, basically interval and ratio data types!"
08-01-25 16:19,138,Levels of Measurement,"In today's class, we learnt about levels of measurement. There are 4 kinds of levels of measurement- ordinal, nominal, ratio and interval. Nominal level of measurement is used for classification- you cannot rank the sunglasses or organise them in anyway- such as grouping by colour or gender. It is discrete-like the ordinal level of measurement where the quantities have a property that makes it amenable to get ordered- such as students with a certain grade in a course. Interval and ratio are continuous but the difference arises in what 0 stands for in the type. In ratio, 0 means nothing exists but it's just a measure on a scale in interval. Many things can be classified as the analyst chooses, and can make plots accordingly. We further learnt about the relevance to ML, Classification and regression in the class."
08-01-25 16:31,83,Level of Measurement,"Their are four level of measurement-
1) Nominal- here the categories have no ranking order or any specific order. Eg color, gender etc
2) Ordinal- here the categories have ranking order but the difference between them does not symbolize anything meaningful. Eg amount of risk ie high risk, medium risk, low risk.
3) Interval- here the interval are meaningful and have a continuous range of data but does not a true meaning of zero point. this means that we can add subtract values but we cannot multiply Eg Celsius, Fahrenheit temperature scale etc
4) Ratio- here the interval and the zero point are meaningful which means we could divide and multiply using these scales. Eg Height, Weight.
The nominal and ordinal level have discreate categories hence we do classification on these data where interval and ratio are continuous hence we use regression.  "
08-01-25 16:37,116,Stastics-Level of Measurement,"For nominal data is categorised only, it can only be counted and no order or ranking. For ordinal, discrete data is there which can be ordered too. For interval data is categorised, ranked and difference between values are meaningful but no true zero however in ratio there is absolute zero too allowing ratio and mathematical operation. This two are for continuous data. Also, price should be continuous as can take any value and can be for any precision. Temperature in kelvin only is ratio and can perform multiply divide apart from other scales which are interval."
08-01-25 16:39,104,Levels Of Measurement,"We learnt about the main 4 levels of measurement which are nominal ,ordinal ,interval and ratio. In nominal we just classify the data into categories but there is not inherent method to order them. In ordinal we do the same but there is a certain way to order the data. We use interval for continuous data fields and ratio is similar but it also has a meaning of absolute zero. We also learnt about certain ML techniques with examples such as regression which is used for interval and ratio and classification which is used for clusters of data like nominal and ordinal."
08-01-25 16:46,129,Encoding,"For data with nominal levels of measurement, there is no inherent order within them. For example, if we have gender as a data column, we need to convert the (M/F) categories into numbers to train a mathematical model. We can't directly train an ML model on categories without encoding them first. If we just assign 0 or 1 directly to M and F, then we are unintentionally assigning order to something which doesn't have one. This might lead to bias in the trained ML model as 1 is numerically higher than 0. To prevent this, we can use other techniques like one-hot encoding which assigns binary values to 2 columns (G1, G2) and according encodes the categorical gender columns."
